communication_id,customer_id,timestamp,channel,reason_category,message_text,sentiment,outcome,related_claim_id
1,1,2024-08-23 01:27:41,Phone,Call Log,Verification of updated contact details,Positive,Acknowledged,
2,2,2024-11-11 01:27:34,Chatbot,Call Log,General inquiry about policy coverage,Negative,Acknowledged,
3,2,2024-04-26 14:33:45,In-Person,Complaint,Incorrect personal details on file,Negative,Acknowledged,
4,3,2024-06-23 08:50:58,Email,Feedback,Concern about premium increase,Neutral,Resolved,
5,4,2024-01-27 23:19:04,Phone,Feedback,Concern about premium increase,Negative,Acknowledged,
6,4,2024-02-11 22:31:07,Chatbot,Complaint,Incorrect personal details on file,Negative,Pending Info,10.0
7,5,2023-07-16 21:31:26,Email,Call Log,Question regarding renewal process,Positive,Acknowledged,
8,5,2024-03-19 00:53:27,Social Media,Call Log,Follow-up call on a pending claim,Positive,Resolved,
9,5,2023-05-06 14:37:25,In-Person,Feedback,Request for better mobile app experience,Positive,Pending Info,
10,5,2023-06-16 04:11:15,Phone,Feedback,Suggestion for new policy feature,Positive,Escalated,
11,6,2024-05-23 14:59:28,Social Media,Complaint,Policy cancellation issue,Negative,Escalated,12.0
12,6,2024-11-20 06:49:18,Social Media,Feedback,Overall positive feedback on service,Neutral,Acknowledged,
13,6,2024-03-09 17:05:15,Chatbot,Feedback,Suggestion for new policy feature,Positive,Pending Info,
14,7,2024-01-22 09:11:54,Chatbot,Call Log,Follow-up call on a pending claim,Neutral,Escalated,
15,7,2024-06-24 08:59:14,In-Person,Complaint,Billing error in latest statement,Negative,Resolved,13.0
16,8,2024-08-14 22:44:07,Phone,Call Log,General inquiry about policy coverage,Negative,Acknowledged,14.0
17,8,2024-03-02 02:25:41,Phone,Complaint,Billing error in latest statement,Negative,Pending Info,15.0
18,8,2025-01-13 21:28:37,Chatbot,Complaint,Billing error in latest statement,Negative,Resolved,15.0
19,8,2024-07-30 21:53:54,Phone,Complaint,Incorrect personal details on file,Neutral,Resolved,15.0
20,8,2025-02-13 02:02:08,Email,Call Log,General inquiry about policy coverage,Neutral,Escalated,15.0
21,9,2023-10-25 12:22:18,Social Media,Feedback,Suggestion for new policy feature,Negative,Escalated,
22,9,2024-04-15 04:48:21,Phone,Complaint,Incorrect personal details on file,Negative,Resolved,
23,9,2023-04-24 20:42:52,In-Person,Call Log,Verification of updated contact details,Neutral,Pending Info,16.0
24,9,2024-02-19 02:57:11,Email,Complaint,Billing error in latest statement,Negative,Pending Info,
25,10,2023-07-03 03:56:28,Phone,Call Log,Question regarding renewal process,Neutral,Pending Info,
26,10,2023-05-23 07:26:43,Email,Complaint,Long wait time on phone support,Negative,Pending Info,
27,10,2023-08-22 21:51:37,Social Media,Call Log,Inquiry about adding a family member to the policy,Neutral,Escalated,
28,10,2023-07-06 04:35:33,Phone,Feedback,Appreciation for quick claim settlement,Positive,Escalated,
29,11,2025-01-24 18:41:06,In-Person,Feedback,Concern about premium increase,Neutral,Escalated,
30,11,2024-09-17 16:49:58,In-Person,Feedback,Overall positive feedback on service,Neutral,Acknowledged,
31,11,2024-02-09 03:56:54,In-Person,Call Log,Inquiry about adding a family member to the policy,Positive,Escalated,18.0
32,12,2023-09-30 10:39:31,In-Person,Call Log,Inquiry about adding a family member to the policy,Positive,Pending Info,19.0
33,12,2024-01-15 20:35:02,Phone,Feedback,Suggestion for new policy feature,Positive,Pending Info,
34,12,2024-06-19 17:13:40,Phone,Complaint,Long wait time on phone support,Negative,Pending Info,21.0
35,12,2023-03-26 20:23:00,Chatbot,Call Log,Verification of updated contact details,Neutral,Pending Info,20.0
36,12,2023-04-04 02:11:34,In-Person,Feedback,Appreciation for quick claim settlement,Negative,Acknowledged,
37,13,2023-05-28 06:46:12,Social Media,Feedback,Suggestion for new policy feature,Negative,Resolved,
38,14,2024-04-22 02:06:46,Phone,Feedback,Suggestion for new policy feature,Neutral,Acknowledged,
39,15,2024-01-10 17:03:47,Email,Call Log,Inquiry about adding a family member to the policy,Neutral,Resolved,
40,15,2024-02-11 11:52:15,In-Person,Complaint,Unsatisfactory claim process,Negative,Escalated,
41,15,2023-07-18 00:01:43,In-Person,Feedback,Concern about premium increase,Neutral,Acknowledged,
42,15,2024-09-14 19:26:15,Social Media,Feedback,Concern about premium increase,Neutral,Acknowledged,
43,15,2024-09-15 08:22:55,Social Media,Complaint,Unsatisfactory claim process,Negative,Pending Info,26.0
44,16,2023-06-04 15:52:20,In-Person,Feedback,Appreciation for quick claim settlement,Negative,Escalated,
45,16,2024-11-06 16:14:37,In-Person,Feedback,Request for better mobile app experience,Neutral,Escalated,
46,16,2024-05-25 19:11:12,Social Media,Complaint,Billing error in latest statement,Neutral,Pending Info,
47,16,2024-11-25 16:19:19,In-Person,Complaint,Long wait time on phone support,Negative,Pending Info,
48,16,2024-03-18 17:23:36,Phone,Feedback,Suggestion for new policy feature,Neutral,Pending Info,
49,17,2023-05-07 15:53:11,Chatbot,Feedback,Appreciation for quick claim settlement,Positive,Acknowledged,
50,17,2023-09-11 17:40:54,Phone,Call Log,Inquiry about adding a family member to the policy,Negative,Resolved,28.0
51,18,2023-12-04 23:17:39,Chatbot,Feedback,Concern about premium increase,Neutral,Escalated,
52,18,2024-11-22 12:01:54,Chatbot,Feedback,Request for better mobile app experience,Negative,Resolved,
53,18,2024-11-29 07:22:28,Chatbot,Complaint,Policy cancellation issue,Negative,Acknowledged,31.0
54,18,2023-07-14 05:14:20,Social Media,Complaint,Policy cancellation issue,Negative,Escalated,
55,19,2024-05-22 13:47:43,Social Media,Feedback,Appreciation for quick claim settlement,Positive,Pending Info,
56,19,2023-04-18 09:50:41,Phone,Call Log,General inquiry about policy coverage,Neutral,Resolved,33.0
57,19,2023-04-09 19:55:50,In-Person,Call Log,Inquiry about adding a family member to the policy,Neutral,Escalated,33.0
58,20,2023-07-30 14:01:25,Chatbot,Complaint,Policy cancellation issue,Negative,Escalated,
59,20,2023-03-29 12:25:13,Phone,Complaint,Billing error in latest statement,Negative,Acknowledged,
