policy_id,customer_id,policy_type,premium,sum_insured,start_date,end_date
1,1,Health,1946,194600,7/31/2021,4/21/2023
2,2,Health,4620,462000,7/21/2024,10/3/2025
3,3,Health,3515,351500,9/27/2022,2/6/2024
4,3,Motor,3990,399000,4/2/2024,7/18/2028
5,4,Health,4839,483900,12/31/2023,6/16/2025
6,4,Motor,4291,429100,4/12/2023,10/30/2024
7,4,Health,2583,258300,1/7/2022,11/30/2025
8,5,Life,869,86900,12/1/2022,11/4/2024
9,6,Motor,1240,124000,3/2/2022,12/9/2025
10,7,Health,2785,278500,4/2/2021,7/4/2022
11,8,Health,4355,435500,6/29/2021,4/2/2026
12,8,Motor,1344,134400,11/28/2023,4/4/2027
13,9,Motor,1811,181100,7/19/2020,9/1/2023
14,9,Life,806,80600,5/22/2024,4/23/2028
15,10,Life,953,95300,1/11/2021,3/29/2022
16,11,Health,1355,135500,4/27/2022,1/30/2024
17,12,Health,4558,455800,4/25/2022,1/20/2025
18,13,Motor,1474,147400,10/7/2022,5/10/2026
19,13,Motor,2254,225400,10/24/2023,4/23/2027
20,13,Motor,3260,326000,4/26/2021,2/1/2026
21,14,Health,2456,245600,3/8/2022,4/9/2023
22,15,Motor,3860,386000,6/22/2023,9/9/2024
23,15,Health,4987,498700,11/1/2021,10/7/2026
24,16,Motor,2591,259100,6/23/2023,10/17/2025
25,17,Life,3796,379600,12/6/2020,12/6/2024
26,18,Health,568,56800,2/11/2022,8/13/2026
27,18,Motor,4391,439100,11/28/2022,9/12/2025
28,18,Motor,3273,327300,3/22/2021,5/9/2023
29,19,Life,3062,306200,6/21/2023,9/16/2027
30,19,Life,4354,435400,1/4/2025,11/10/2028
31,20,Motor,2772,277200,12/14/2024,7/4/2026
32,21,Life,1747,174700,8/17/2022,10/8/2026
33,21,Life,2617,261700,4/18/2020,4/16/2024
34,22,Health,2981,298100,3/21/2023,7/27/2025
35,23,Health,2264,226400,8/4/2021,8/20/2025
36,23,Life,4376,437600,10/9/2020,4/8/2025
37,23,Motor,4287,428700,1/22/2023,1/27/2025
